Tokenizer: vocab=8192
Pre-tokenizing train from /home/user/new-ai/data/large_train_corpus.jsonl...
Pre-tokenizing /home/user/new-ai/data/large_train_corpus.jsonl...
  Processed 5000 entries, 5001 windows...
  Processed 10000 entries, 10005 windows...
  Processed 15000 entries, 15006 windows...
  Processed 20000 entries, 20009 windows...
  Processed 25000 entries, 25009 windows...
  Processed 30000 entries, 30012 windows...
  Processed 35000 entries, 35012 windows...
  Processed 40000 entries, 40024 windows...
  Processed 45000 entries, 45024 windows...
  Processed 50000 entries, 50024 windows...
  Processed 55000 entries, 55041 windows...
  Processed 60000 entries, 60041 windows...
  Processed 65000 entries, 65043 windows...
  Processed 70000 entries, 70045 windows...
  Processed 75000 entries, 75055 windows...
  Processed 80000 entries, 80056 windows...
  Processed 85000 entries, 85057 windows...
  Processed 90000 entries, 90057 windows...
  Processed 95000 entries, 95062 windows...
  Processed 100000 entries, 100067 windows...
